paper_id,requirement,category_id,rank,score,candidate_item_id,candidate_title,currently_assigned,current_status
pereira-2019-ipea,geometria de escolas,geometry-schools,1,16.0,498e637753bd4e0da76e90103dd21eb7,Mapa Digital do Rio de Janeiro - Escolas Municipais e Estratégia da Saúde,0a220ea7972d4adf85b3e63d23a4b9b1,available
pereira-2019-ipea,geometria de escolas,geometry-schools,2,13.0,0a220ea7972449e39a28210dd317f636,Escolas Municipais,0a220ea7972d4adf85b3e63d23a4b9b1,available
pereira-2019-ipea,geometria de escolas,geometry-schools,3,12.0,7f525f38c32542d3bcecb5a2c35deb94,"NOTA TÉCNICA 25 - Avaliação das crianças de creches municipais no Rio de Janeiro (2010-2012): uso da ferramenta Age & Stages Questionnaires, ASQ-3 (Novembro/2013)",0a220ea7972d4adf85b3e63d23a4b9b1,available
pereira-2019-ipea,geometria de escolas,geometry-schools,4,12.0,fc4a250e2002459091e0db180bfc3ab5,Data.Rio Fale Conosco_OLD,0a220ea7972d4adf85b3e63d23a4b9b1,available
pereira-2019-ipea,geometria de escolas,geometry-schools,5,11.0,127d8779739f4dd186b8170cea3f801e,"Escolas de música: localização e fundação, segundo as Regiões Administrativas (RA) e Bairros do Município do Rio de Janeiro - 2004",0a220ea7972d4adf85b3e63d23a4b9b1,available
pereira-2019-ipea,indicador de qualidade educacional,performance-aggregated,1,10.0,450e2d32fabe43c2840e0859d0546d2b,"Ensino Fundamental Regular - IDEB de rede pública municipal: séries iniciais (1º ao 5º ano) - taxa de aprovação, nota média padronizada do SAEB e IDEB por municípios das capitais selecionadas entre 2005 - 2021",ideb-municipal-bairros,available
pereira-2019-ipea,indicador de qualidade educacional,performance-aggregated,2,10.0,7888fde5637e4f2fa54cfb80f32321e4,"Ensino Fundamental Regular - IDEB de rede pública municipal: séries finais (6º ao 9º ano) - taxa de aprovação, nota média padronizada do SAEB e IDEB por municípios das capitais selecionadas entre 2005 - 2021",ideb-municipal-bairros,available
pereira-2019-ipea,indicador de qualidade educacional,performance-aggregated,3,7.0,29d517eedb9c44379a07430280a12839,Favelas Cariocas: Índice de Qualidade Urbana - Reedição digital 2026 - 1ª Edição (Impressa) 1997,ideb-municipal-bairros,available
pereira-2019-ipea,indicador de qualidade educacional,performance-aggregated,4,7.0,6b375a1fcab642779398aa12108c906f,Índice de Qualidade do Emprego Municipal  (Março/2026),ideb-municipal-bairros,available
pereira-2019-ipea,indicador de qualidade educacional,performance-aggregated,5,6.0,5b1bf5c3e5114564bbf9b7a372b85e17,Qualidade do ar - Dados horários,ideb-municipal-bairros,available
pereira-2019-ipea,rede viária / tempos de viagem,travel-network,1,12.0,fc4a250e2002459091e0db180bfc3ab5,Data.Rio Fale Conosco_OLD,,external
pereira-2019-ipea,rede viária / tempos de viagem,travel-network,2,10.0,8ffe62ad3b2f42e49814bf941654ea6c,GTFS do Rio de Janeiro,,external
pereira-2019-ipea,rede viária / tempos de viagem,travel-network,3,10.0,a4f0b57d7b3b4ef595b592cb61f93b7e,DATA.RIO,,external
pereira-2019-ipea,rede viária / tempos de viagem,travel-network,4,10.0,6b8f51d8417c4bab9955c6523bb72fbf,COLEÇÃO ESTUDOS CARIOCAS - Proposta de rede geodésica de referência para o Município do Rio de Janeiro (Fevereiro/2019),,external
pereira-2019-ipea,rede viária / tempos de viagem,travel-network,5,10.0,6e6fdcea83994c1fa44afb31c93a39f0,"Internações hospitalares do SUS: de caráter de atendimento não eletivo, segundo Áreas de Planejamento da Saúde de atendimento e ano de competência no Município do Rio de Janeiro, 2008-2017",,external
pereira-2019-ipea,geometria de bairros,geometry-neighborhoods,1,16.0,c2f92bf4944d457784cfbf9262070071,AtlasRio: Limites de Bairros (1981-1992) na Área Central do Rio de Janeiro,bairros-ipp,available
