id,sheet_idx,sheet_name,n_rows,n_cols,n_unique_first_col,years_min,years_max,header_preview
023006ef4e8c4277b7551343ef0e9790,0,2006,38,25,29,2006,2008,Armazém de Dados
023006ef4e8c4277b7551343ef0e9790,1,2007,42,25,33,2007,2008,Armazém de Dados
069f8afac36c456cbb13e845595e1331,0,Tab. 3134,237,4,195,2010,2010,Armazém de Dados
0a5a97fed2e540fd8320c05e70867491,0,2000,46,9,37,2000,2000,Armazém de Dados
0a5a97fed2e540fd8320c05e70867491,1,2010,46,9,37,2010,2010,Armazém de Dados
0f6d773c93654593a5a73d7ac8b66819,0,2005-2006,22,7,13,2005,2006,Armazém de Dados
0f6d773c93654593a5a73d7ac8b66819,1,2007-2008,27,7,17,2007,2008,Armazém de Dados
1137f9c36087443ebf1b4f7809576f8b,0,T 1614_1,68,5,19,2001,2009,DATA.RIO
1137f9c36087443ebf1b4f7809576f8b,1,T 1614_2,80,5,21,2010,2020,DATA.RIO
1137f9c36087443ebf1b4f7809576f8b,2,ESRI_MAPINFO_SHEET,0,0,0,,,
1193f2596b9f46e1b0223b4fd5d9ad71,0,2000,24,3,15,2000,2005,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,1,2001,24,3,15,2001,2005,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,2,2002,24,3,15,2002,2004,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,3,2003,24,3,15,2003,2005,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,4,2004,24,3,15,2004,2005,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,5,2005,24,3,15,2005,2012,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,6,2006,24,3,15,2006,2012,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,7,2007,24,3,15,2007,2012,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,8,2008,24,3,15,2008,2012,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,9,2009,24,3,15,2009,2012,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,10,2010,24,3,15,2010,2017,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,11,2011,24,3,15,2011,2017,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,12,2012,24,3,15,2012,2017,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,13,2013,24,3,15,2013,2017,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,14,2014,24,3,15,2014,2017,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,15,2015,24,3,15,2015,2017,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,16,2016,24,3,15,2016,2018,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,17,2017,24,3,15,2017,2021,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,18,2018,24,3,15,2018,2021,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,19,2019,24,3,15,2019,2021,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,20,2020,24,3,15,2020,2022,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,21,2021,24,3,15,2021,2022,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,22,2022,24,3,15,2022,2023,DATA.RIO
1193f2596b9f46e1b0223b4fd5d9ad71,23,ESRI_MAPINFO_SHEET,0,0,0,,,
126a4fb5bc6a4882aca19917f27957eb,0,T 926_1,67,9,18,1999,2009,DATA.RIO
