base_year,target_year,ap,ra,bairro,ideb_5,ideb_9,delta
2007,2011,Área de Planejamento 1,I Portuária,Caju,4.4035087719298245,4.239156626506024,-0.16435214542380017
2007,2011,Área de Planejamento 1,I Portuária,Santo Cristo,4.278499999999999,5.1,0.8215000000000003
2007,2011,Área de Planejamento 1,I Portuária,Saúde,4.0,4.4,0.40000000000000036
2007,2011,Área de Planejamento 1,II Centro,Centro,4.491666666666667,4.632960893854748,0.14129422718808105
2007,2011,Área de Planejamento 1,III Rio Comprido,Catumbi,3.0,3.9,0.8999999999999999
2007,2011,Área de Planejamento 1,III Rio Comprido,Rio Comprido,4.254364089775561,4.4308000000000005,0.1764359102244395
2007,2011,Área de Planejamento 1,VII São Cristóvão,Benfica,4.098684210526316,4.075985663082437,-0.02269854744387878
2007,2011,Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,5.111506849315068,4.238860103626942,-0.872646745688126
2007,2011,Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,5.007547169811321,5.14950495049505,0.14195778068372888
2007,2011,Área de Planejamento 2,IV Botafogo,Botafogo,4.536813186813187,4.553813559322034,0.017000372508847228
2007,2011,Área de Planejamento 2,IV Botafogo,Humaitá,4.8,4.7,-0.09999999999999964
2007,2011,Área de Planejamento 2,IV Botafogo,Laranjeiras,5.221827411167513,4.4,-0.8218274111675123
2007,2011,Área de Planejamento 2,IV Botafogo,Urca,5.882666666666667,6.087037037037036,0.20437037037036898
2007,2011,Área de Planejamento 2,V Copacabana,Copacabana,5.423019801980198,4.8133333333333335,-0.6096864686468644
2007,2011,Área de Planejamento 2,V Copacabana,Leme,4.5,4.5,0.0
2007,2011,Área de Planejamento 2,VI Lagoa,Gávea,5.081385281385282,4.4452674897119335,-0.6361177916733487
2007,2011,Área de Planejamento 2,VI Lagoa,Ipanema,4.507111111111112,4.775545851528384,0.26843474041727156
2007,2011,Área de Planejamento 2,VI Lagoa,Jardim Botânico,4.984615384615385,4.2,-0.7846153846153845
2007,2011,Área de Planejamento 2,VI Lagoa,Leblon,5.096539792387544,3.3,-1.7965397923875441
2007,2011,Área de Planejamento 2,VI Lagoa,Vidigal,4.086486486486487,3.7,-0.3864864864864872
2007,2011,Área de Planejamento 2,VIII Tijuca,Alto da Boa Vista,4.605042016806722,4.4,-0.20504201680672196
2007,2011,Área de Planejamento 2,VIII Tijuca,Tijuca,4.602781289506954,4.937914691943127,0.3351334024361732
2007,2011,Área de Planejamento 2,IX Vila Isabel,Andaraí,4.791988950276243,4.8,0.008011049723756436
2007,2011,Área de Planejamento 2,IX Vila Isabel,Grajaú,5.020477815699659,4.851181102362205,-0.16929671333745322
2007,2011,Área de Planejamento 2,IX Vila Isabel,Vila Isabel,4.147868217054264,4.993111111111111,0.845242894056847
2007,2011,Área de Planejamento 3,X Ramos,Bonsucesso,4.778740157480315,4.096610169491525,-0.6821299879887901
2007,2011,Área de Planejamento 3,X Ramos,Olaria,4.447274881516588,4.530818619582665,0.08354373806607729
2007,2011,Área de Planejamento 3,X Ramos,Ramos,4.7232387923147305,4.145786516853933,-0.5774522754607974
2007,2011,Área de Planejamento 3,XXX Maré,Maré,4.2244353182751535,3.612019230769231,-0.6124160875059226
2007,2011,Área de Planejamento 3,XIII Méier,Água Santa,4.4,4.4,0.0
2007,2011,Área de Planejamento 3,XIII Méier,Cachambi,5.560648148148148,4.2,-1.3606481481481474
2007,2011,Área de Planejamento 3,XIII Méier,Encantado,5.0,4.8,-0.20000000000000018
2007,2011,Área de Planejamento 3,XIII Méier,Engenho de Dentro,4.827579365079365,5.103448275862069,0.27586891078270437
2007,2011,Área de Planejamento 3,XIII Méier,Jacaré,4.212264150943396,5.247887323943663,1.0356231730002676
2007,2011,Área de Planejamento 3,XIII Méier,Lins de Vasconcelos,3.9512903225806455,4.813740458015267,0.8624501354346212
2007,2011,Área de Planejamento 3,XIII Méier,Méier,4.560416666666667,4.753611111111111,0.193194444444444
2007,2011,Área de Planejamento 3,XIII Méier,Piedade,4.6410774410774405,4.400555555555556,-0.24052188552188447
2007,2011,Área de Planejamento 3,XIII Méier,Pilares,4.797967479674797,4.530973451327434,-0.2669940283473631
2007,2011,Área de Planejamento 3,XIII Méier,Riachuelo,4.1370786516853935,4.8,0.6629213483146064
2007,2011,Área de Planejamento 3,XIII Méier,Rocha,4.9845070422535205,4.8,-0.18450704225352066
2007,2011,Área de Planejamento 3,XIII Méier,Todos os Santos,5.2,4.8,-0.40000000000000036
2007,2011,Área de Planejamento 3,XIV Irajá,Colégio,4.632901554404145,4.247826086956522,-0.38507546744762333
2007,2011,Área de Planejamento 3,XIV Irajá,Irajá,4.703466076696165,4.510341805433829,-0.19312427126233533
2007,2011,Área de Planejamento 3,XIV Irajá,Vila Kosmos,4.110775862068965,4.1054545454545455,-0.00532131661441948
2007,2011,Área de Planejamento 3,XIV Irajá,Vista Alegre,4.7,4.7,0.0
2007,2011,Área de Planejamento 3,XV Madureira,Bento Ribeiro,4.5137931034482754,4.405384615384616,-0.10840848806365955
2007,2011,Área de Planejamento 3,XV Madureira,Cascadura,4.344242424242424,4.858730158730158,0.5144877344877345
2007,2011,Área de Planejamento 3,XV Madureira,Cavalcanti,4.811748633879781,4.360227272727273,-0.4515213611525084
2007,2011,Área de Planejamento 3,XV Madureira,Honório Gurgel,4.171548117154812,4.423529411764705,0.2519812946098936
2007,2011,Área de Planejamento 3,XV Madureira,Madureira,4.073684210526316,4.305392156862745,0.23170794633642977
2007,2011,Área de Planejamento 3,XV Madureira,Marechal Hermes,4.5113243761996165,4.444086021505377,-0.06723835469423989
2007,2011,Área de Planejamento 3,XV Madureira,Oswaldo Cruz,4.433112582781457,4.386018237082067,-0.047094345699390416
2007,2011,Área de Planejamento 3,XV Madureira,Quintino Bocaiúva,4.6922807017543855,4.5548802946593,-0.13740040709508516
2007,2011,Área de Planejamento 3,XV Madureira,Rocha Miranda,4.656847545219639,4.783723958333333,0.1268764131136937
2007,2011,Área de Planejamento 3,XV Madureira,Turiaçu,4.239062499999999,3.5,-0.7390624999999993
2007,2011,Área de Planejamento 3,XII Inhaúma,Del Castilho,4.566492146596859,4.8,0.2335078534031405
2007,2011,Área de Planejamento 3,XII Inhaúma,Engenho da Rainha,4.3253125,4.408270676691729,0.08295817669172934
2007,2011,Área de Planejamento 3,XII Inhaúma,Higienópolis,4.611069418386491,4.457171717171717,-0.15389770121477397
2007,2011,Área de Planejamento 3,XII Inhaúma,Inhaúma,4.425932062966032,4.69748322147651,0.2715511585104782
2007,2011,Área de Planejamento 3,XII Inhaúma,Maria da Graça,4.2,4.0,-0.20000000000000018
2007,2011,Área de Planejamento 3,XI Penha,Brás de Pina,4.87202166064982,5.1658823529411775,0.29386069229135714
2007,2011,Área de Planejamento 3,XI Penha,Penha,4.487165178571429,4.175853658536585,-0.3113115200348435
2007,2011,Área de Planejamento 3,XI Penha,Penha Circular,4.909274873524452,5.04179104477612,0.1325161712516678
2007,2011,Área de Planejamento 3,XXXI Vigário Geral,Cordovil,4.34290780141844,4.28719646799117,-0.055711333427270304
2007,2011,Área de Planejamento 3,XXXI Vigário Geral,Jardim América,4.717054263565892,3.8393103448275863,-0.8777439187383056
2007,2011,Área de Planejamento 3,XXXI Vigário Geral,Vigário Geral,3.817040358744394,4.262978723404255,0.4459383646598609
2007,2011,Área de Planejamento 3,XXII Anchieta,Anchieta,4.225891181988743,3.7,-0.5258911819887429
2007,2011,Área de Planejamento 3,XXII Anchieta,Guadalupe,4.6788844621513945,4.577223427331887,-0.10166103481950728
2007,2011,Área de Planejamento 3,XXII Anchieta,Parque Anchieta,4.8173393124065775,4.001744186046512,-0.8155951263600656
2007,2011,Área de Planejamento 3,XXII Anchieta,Ricardo de Albuquerque,4.384962406015038,5.1,0.7150375939849614
2007,2011,Área de Planejamento 3,XXV Pavuna,Coelho Neto,4.225548387096774,3.477717391304348,-0.7478309957924258
2007,2011,Área de Planejamento 3,XXV Pavuna,Costa Barros,3.9616541353383457,4.0,0.03834586466165435
2007,2011,Área de Planejamento 3,XXV Pavuna,Parque Columbia,4.4,4.5,0.09999999999999964
2007,2011,Área de Planejamento 3,XXV Pavuna,Pavuna,4.5800803673938,4.0602409638554215,-0.5198394035383789
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Bancários,4.533783783783784,4.047272727272727,-0.4865110565110573
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Cidade Universitária,4.5,4.1,-0.40000000000000036
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Freguesia (Ilha do Governador),4.7,3.9,-0.8000000000000003
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Galeão,4.783,4.34223602484472,-0.44076397515528054
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Jardim Guanabara,5.077540106951871,4.940551181102363,-0.13698892584950872
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Moneró,4.926027397260274,4.497590361445784,-0.4284370358144898
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Portuguesa,4.815530303030304,4.3,-0.515530303030304
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Praia da Bandeira,4.6,3.8,-0.7999999999999998
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Tauá,4.872262773722627,4.8,-0.07226277372262757
2007,2011,Área de Planejamento 3,XX Ilha do Governador,Zumbi,4.9,5.2,0.2999999999999998
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Anil,5.4,4.700845070422536,-0.699154929577464
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Curicica,4.907130124777183,4.2,-0.7071301247771826
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Freguesia (Jacarepaguá),4.49554234769688,4.254794520547945,-0.24074782714893495
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Jacarepaguá,4.471293161814489,4.459792284866468,-0.01150087694802071
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Pechincha,5.037327188940092,4.9396135265700485,-0.09771366237004386
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Praça Seca,4.354829931972789,4.468907563025209,0.11407763105242008
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Tanque,4.363245823389021,5.005759162303665,0.642513338914644
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Taquara,4.865171102661597,4.42906050955414,-0.4361105931074567
2007,2011,Área de Planejamento 4,XVI Jacarepaguá,Vila Valqueire,4.991561181434599,4.9,-0.09156118143459846
2007,2011,Área de Planejamento 4,XXXIII Cidade de Deus,Cidade de Deus,4.125268817204301,4.342774566473988,0.21750574926968724
2007,2011,Área de Planejamento 4,XXIV Barra da Tijuca,Barra da Tijuca,5.18662109375,4.830498866213152,-0.3561222275368481
2007,2011,Área de Planejamento 4,XXIV Barra da Tijuca,Recreio dos Bandeirantes,4.602747252747253,4.2,-0.4027472527472531
2007,2011,Área de Planejamento 4,XXIV Barra da Tijuca,Vargem Grande,4.474162679425837,4.756779661016949,0.2826169815911115
2007,2011,Área de Planejamento 5,XVII Bangu,Bangu,4.583498233215548,4.243325415676959,-0.34017281753858875
2007,2011,Área de Planejamento 5,XVII Bangu,Padre Miguel,4.804448105436573,4.256284153005465,-0.5481639524311079
2007,2011,Área de Planejamento 5,XVII Bangu,Senador Camará,4.404440649017934,4.422171945701357,0.017731296683423103
2007,2011,Área de Planejamento 5,XVII Bangu,Vila Kennedy,4.60936768149883,4.246829268292683,-0.36253841320614644
2007,2011,Área de Planejamento 5,XVII Bangu,Jabour,4.483116883116883,4.2,-0.28311688311688243
2007,2011,Área de Planejamento 5,XXXII Realengo,Campo dos Afonsos,5.023030303030303,5.8,0.7769696969696964
2007,2011,Área de Planejamento 5,XXXII Realengo,Deodoro,4.743636363636363,3.9,-0.8436363636363633
2007,2011,Área de Planejamento 5,XXXII Realengo,Jardim Sulacap,5.900000000000001,5.7,-0.20000000000000107
2007,2011,Área de Planejamento 5,XXXII Realengo,Magalhães Bastos,4.34344473007712,4.862735849056604,0.519291118979484
2007,2011,Área de Planejamento 5,XXXII Realengo,Realengo,4.301232285890326,4.611140121845082,0.309907835954756
2007,2011,Área de Planejamento 5,XXXII Realengo,Vila Militar,4.218367346938775,4.2,-0.018367346938775064
2007,2011,Área de Planejamento 5,XVIII Campo Grande,Campo Grande,4.659065288868014,4.5207720077756175,-0.13829328109239647
2007,2011,Área de Planejamento 5,XVIII Campo Grande,Cosmos,4.556749049429658,4.202211690363349,-0.3545373590663088
2007,2011,Área de Planejamento 5,XVIII Campo Grande,Inhoaíba,4.513713713713713,4.203636363636363,-0.31007735007734993
2007,2011,Área de Planejamento 5,XVIII Campo Grande,Santíssimo,4.605210084033614,3.9,-0.7052100840336144
2007,2011,Área de Planejamento 5,XVIII Campo Grande,Senador Vasconcelos,4.757482993197279,4.784210526315789,0.026727533118510394
2007,2011,Área de Planejamento 5,XIX Santa Cruz,Paciência,4.397682709447415,4.11805674978504,-0.2796259596623747
2007,2011,Área de Planejamento 5,XIX Santa Cruz,Santa Cruz,4.2447033898305095,4.19867941712204,-0.04602397270846925
2007,2011,Área de Planejamento 5,XIX Santa Cruz,Sepetiba,3.7746509129967776,3.7,-0.0746509129967774
2007,2011,Área de Planejamento 5,XXVI Guaratiba,Guaratiba,4.2179236043095,4.4475972540045765,0.22967364969507642
2007,2011,Área de Planejamento 5,XXVI Guaratiba,Pedra de Guaratiba,4.313780918727916,4.253314917127072,-0.0604660016008447
2009,2013,Área de Planejamento 1,I Portuária,Caju,4.798701298701299,4.12034632034632,-0.6783549783549789
2009,2013,Área de Planejamento 1,I Portuária,Santo Cristo,5.070967741935483,4.1,-0.9709677419354836
2009,2013,Área de Planejamento 1,I Portuária,Saúde,4.2,4.9,0.7000000000000002
2009,2013,Área de Planejamento 1,II Centro,Centro,5.010035842293907,5.290963855421687,0.28092801312778004
2009,2013,Área de Planejamento 1,III Rio Comprido,Catumbi,3.8,4.0,0.20000000000000018
2009,2013,Área de Planejamento 1,III Rio Comprido,Rio Comprido,4.623574144486692,4.651798561151079,0.028224416664387242
2009,2013,Área de Planejamento 1,VII São Cristóvão,Benfica,4.721212121212121,4.47732342007435,-0.24388870113777106
2009,2013,Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,5.196541786743516,4.295945945945946,-0.9005958407975703
2009,2013,Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,5.702868852459017,4.7317307692307695,-0.9711380832282472
2009,2013,Área de Planejamento 2,IV Botafogo,Botafogo,4.901851851851851,4.774585635359116,-0.1272662164927354
2009,2013,Área de Planejamento 2,IV Botafogo,Glória,5.3,4.4,-0.8999999999999995
2009,2013,Área de Planejamento 2,IV Botafogo,Humaitá,5.7,4.0,-1.7000000000000002
2009,2013,Área de Planejamento 2,IV Botafogo,Laranjeiras,5.890566037735849,4.5,-1.3905660377358489
2009,2013,Área de Planejamento 2,IV Botafogo,Urca,6.428571428571429,6.126633165829146,-0.30193826274228286
2009,2013,Área de Planejamento 2,V Copacabana,Copacabana,5.963126843657817,4.838235294117647,-1.1248915495401706
2009,2013,Área de Planejamento 2,V Copacabana,Leme,5.2,3.4,-1.8000000000000003
2009,2013,Área de Planejamento 2,VI Lagoa,Gávea,5.47872340425532,4.738050314465409,-0.7406730897899116
2009,2013,Área de Planejamento 2,VI Lagoa,Ipanema,4.968103448275863,4.5804,-0.3877034482758628
2009,2013,Área de Planejamento 2,VI Lagoa,Jardim Botânico,5.69016393442623,3.8,-1.89016393442623
2009,2013,Área de Planejamento 2,VI Lagoa,Leblon,5.977304964539007,4.7,-1.2773049645390069
2009,2013,Área de Planejamento 2,VI Lagoa,Vidigal,5.257692307692308,4.0,-1.2576923076923077
2009,2013,Área de Planejamento 2,VIII Tijuca,Alto da Boa Vista,5.07797619047619,3.738194444444444,-1.339781746031746
2009,2013,Área de Planejamento 2,VIII Tijuca,Praça da Bandeira,5.037062937062937,3.3,-1.7370629370629374
2009,2013,Área de Planejamento 2,VIII Tijuca,Tijuca,5.1413080895008605,4.520081967213115,-0.6212261222877453
2009,2013,Área de Planejamento 2,IX Vila Isabel,Andaraí,5.118181818181818,4.631428571428572,-0.4867532467532465
2009,2013,Área de Planejamento 2,IX Vila Isabel,Grajaú,5.219852941176471,4.331441048034934,-0.8884118931415372
2009,2013,Área de Planejamento 2,IX Vila Isabel,Vila Isabel,4.9,5.083838383838384,0.1838383838383839
2009,2013,Área de Planejamento 3,X Ramos,Bonsucesso,5.490721649484536,4.4383763837638375,-1.0523452657206986
2009,2013,Área de Planejamento 3,X Ramos,Manguinhos,4.355623100303951,3.4,-0.9556231003039515
2009,2013,Área de Planejamento 3,X Ramos,Olaria,5.124555735056544,4.375881261595548,-0.748674473460996
2009,2013,Área de Planejamento 3,X Ramos,Ramos,4.878121284185493,3.87128987517337,-1.0068314090121229
2009,2013,Área de Planejamento 3,XXX Maré,Maré,4.653568800588668,3.0681818181818183,-1.5853869824068498
2009,2013,Área de Planejamento 3,XIII Méier,Água Santa,5.4,4.9,-0.5
2009,2013,Área de Planejamento 3,XIII Méier,Cachambi,5.707179487179488,4.121052631578948,-1.58612685560054
2009,2013,Área de Planejamento 3,XIII Méier,Encantado,6.0,5.7,-0.2999999999999998
2009,2013,Área de Planejamento 3,XIII Méier,Engenho de Dentro,5.390084985835694,5.314801444043321,-0.07528354179237251
2009,2013,Área de Planejamento 3,XIII Méier,Jacaré,4.225641025641026,5.423809523809525,1.1981684981684992
2009,2013,Área de Planejamento 3,XIII Méier,Lins de Vasconcelos,3.766,4.213559322033897,0.44755932203389737
2009,2013,Área de Planejamento 3,XIII Méier,Méier,4.899657534246575,4.412777777777778,-0.486879756468797
2009,2013,Área de Planejamento 3,XIII Méier,Piedade,5.114457831325301,4.60578034682081,-0.5086774845044912
2009,2013,Área de Planejamento 3,XIII Méier,Pilares,5.979136690647482,4.322131147540984,-1.6570055431064983
2009,2013,Área de Planejamento 3,XIII Méier,Riachuelo,4.198,3.2,-0.9980000000000002
2009,2013,Área de Planejamento 3,XIII Méier,Rocha,5.097142857142857,4.4,-0.6971428571428566
2009,2013,Área de Planejamento 3,XIII Méier,Todos os Santos,5.4,3.9,-1.5000000000000004
2009,2013,Área de Planejamento 3,XIV Irajá,Colégio,5.653198653198653,3.8104712041884814,-1.8427274490101717
2009,2013,Área de Planejamento 3,XIV Irajá,Irajá,5.2510204081632645,4.626548672566372,-0.6244717355968925
2009,2013,Área de Planejamento 3,XIV Irajá,Vila Kosmos,4.9474820143884894,4.370833333333334,-0.5766486810551559
2009,2013,Área de Planejamento 3,XIV Irajá,Vista Alegre,4.7,4.4,-0.2999999999999998
2009,2013,Área de Planejamento 3,XV Madureira,Bento Ribeiro,4.839705882352941,4.807142857142857,-0.03256302521008436
