hex_id,n_2km,n_5km,dist_min_km,acesso_qty,acesso_quality,bairro,rp,area_plane,codra
88a8a039e7fffff,1,6,1.759974897282234,0.719,4.5544,Guaratiba,Guaratiba,5,26
88a8a075e5fffff,2,44,1.2679801555571113,5.222,32.3457,Jacarepaguá,Jacarepaguá,4,16
88a8a0290bfffff,21,78,0.012660674065227522,17.0622,107.1967,Campo Grande,Campo Grande,5,18
88a8a06509fffff,26,104,0.6329235084406578,17.7698,106.8674,Deodoro,Bangu,5,33
88a8a0655dfffff,14,105,0.9059163316789343,13.2537,80.8786,Vila Militar,Bangu,5,33
88a8a0768dfffff,0,10,2.1005993092001733,1.3423,8.2514,Vargem Grande,Barra da Tijuca,4,24
88a8a076e1fffff,2,10,1.5584624838777212,1.5123,9.2722,Vargem Grande,Barra da Tijuca,4,24
88a8a02a07fffff,2,44,1.5904163750807616,3.783,22.7766,Guaratiba,Guaratiba,5,26
88a8a06605fffff,22,108,0.6714988613717622,18.9823,110.509,Bangu,Bangu,5,17
88a8a02199fffff,0,1,4.849475234429526,0.0394,0.2366,Santa Cruz,Santa Cruz,5,19
88a8a07735fffff,0,10,2.4957136171827,1.2225,8.1323,Barra da Tijuca,Barra da Tijuca,4,24
88a8a02a5bfffff,6,31,1.162701768009334,4.7598,28.3144,Guaratiba,Guaratiba,5,26
88a8a06659fffff,0,53,2.2046739377558837,4.089,24.0816,Campo Grande,Campo Grande,5,18
88a8a021edfffff,1,40,1.5774205074128138,4.6578,27.5079,Santa Cruz,Santa Cruz,5,19
88a8a066adfffff,11,81,0.17588975228955556,12.0882,69.2149,Bangu,Bangu,5,17
88a8a07591fffff,0,22,3.6767966506108976,1.1569,6.9328,Jacarepaguá,Jacarepaguá,4,16
88a8a02b03fffff,3,31,0.8923575321064853,3.9556,24.266,Guaratiba,Guaratiba,5,26
88a8a06701fffff,24,88,0.4467911994801826,16.6834,101.5924,Realengo,Bangu,5,33
88a8a02b57fffff,2,22,0.9008156265922824,3.063,18.4186,Guaratiba,Guaratiba,5,26
88a8a06461fffff,7,103,1.4697545499436167,11.8839,71.1153,Realengo,Bangu,5,33
88a8a03993fffff,5,16,0.5948439466372568,3.1888,19.3788,Guaratiba,Guaratiba,5,26
88a8a06755fffff,23,83,0.48398108294235015,16.1182,97.7621,Realengo,Bangu,5,33
88a8a07885fffff,17,64,0.05730322849280521,11.9777,75.0263,Botafogo,Zona Sul,2,4
88a8a02863fffff,14,92,0.6473034630433916,14.2278,87.1831,Inhoaíba,Campo Grande,5,18
88a8a078d9fffff,15,52,0.4570654519319193,11.7844,73.3582,Lagoa,Zona Sul,2,6
88a8a06037fffff,25,132,0.38466406738007436,23.6822,141.6852,Encantado,Méier,3,13
88a8a0608bfffff,21,115,0.21122941707833032,19.3089,116.8964,Oswaldo Cruz,Madureira,3,15
88a8a071bbfffff,4,23,1.2185973256848006,2.8948,18.1206,Barra da Tijuca,Barra da Tijuca,4,24
88a8a06133fffff,29,166,0.4759824142169089,26.106,151.5601,Manguinhos,Ramos,3,10
88a8a06187fffff,33,177,0.7282756904310614,27.4057,163.0114,Complexo do Alemão,Inhaúma,3,29
88a8a02e4bfffff,0,0,,0.0,0.0,Santa Cruz,Santa Cruz,5,19
88a8a06a49fffff,14,62,0.383384307661564,12.0654,76.0227,Catete,Zona Sul,2,4
88a8a061dbfffff,28,150,0.24540551419349874,25.3614,153.0138,Piedade,Méier,3,13
88a8a06283fffff,20,76,0.3535112538946099,15.1303,93.4618,Taquara,Jacarepaguá,4,16
88a8a02f47fffff,10,31,0.6722600050281291,5.8203,34.922,Santa Cruz,Santa Cruz,5,19
88a8a0753dfffff,4,46,0.5065964607636979,5.8216,35.5906,Barra Olímpica,Jacarepaguá,4,16
88a8a062d7fffff,15,63,0.6695082581727622,11.3614,70.2011,Jacarepaguá,Jacarepaguá,4,16
88a8a07407fffff,2,16,0.9437697110073956,2.1641,13.6245,Vargem Pequena,Barra da Tijuca,4,24
88a8a0632bfffff,4,63,1.2981402632525982,6.6957,40.4806,Alto da Boa Vista,Tijuca,2,8
88a8a0640dfffff,8,92,1.2950249163336869,10.7303,63.2645,Realengo,Bangu,5,33
88a8a0745bfffff,3,10,0.7194934255076864,2.0529,12.6001,Recreio dos Bandeirantes,Barra da Tijuca,4,24
88a8a038b1fffff,4,15,0.3234354351395487,3.6414,22.4788,Pedra de Guaratiba,Guaratiba,5,26
88a8a07503fffff,5,28,1.259965497076356,3.2836,20.5531,Barra Olímpica,Jacarepaguá,4,16
88a8a02829fffff,18,96,0.07239736918402535,17.777,109.0988,Inhoaíba,Campo Grande,5,18
88a8a03959fffff,2,3,0.6572589185847281,1.1973,7.7117,Barra de Guaratiba,Guaratiba,5,26
88a8a07557fffff,3,16,1.6184682954532643,2.3352,15.0087,Barra da Tijuca,Barra da Tijuca,4,24
88a8a039adfffff,1,6,1.9292094464475806,0.7671,4.7655,Guaratiba,Guaratiba,5,26
88a8a075abfffff,3,33,1.3762730517396087,2.9699,18.6291,Jacarepaguá,Jacarepaguá,4,16
88a8a028d1fffff,3,33,0.6862144850036443,4.0015,24.3648,Santa Cruz,Santa Cruz,5,19
88a8a02925fffff,7,85,1.2163823347485003,10.1172,59.866,Santíssimo,Campo Grande,5,18
88a8a06523fffff,24,101,0.25220155552506135,19.7781,112.8272,Pavuna,Pavuna,3,25
88a8a076a7fffff,5,9,0.16861117286835098,3.0549,18.9002,Vargem Grande,Barra da Tijuca,4,24
88a8a0210bfffff,5,17,0.7110496461611704,4.1809,24.0577,Sepetiba,Santa Cruz,5,19
88a8a06e39fffff,15,106,0.10040171622423016,16.4042,96.4607,Jardim América,Penha,3,31
88a8a029cdfffff,22,88,0.2612705426792006,17.8721,111.5929,Campo Grande,Campo Grande,5,18
88a8a074e9fffff,2,7,1.3709363993306767,1.4056,8.7072,Vargem Grande,Barra da Tijuca,4,24
88a8a02a21fffff,5,33,0.2954905579573401,4.5489,27.1124,Guaratiba,Guaratiba,5,26
88a8a021b3fffff,1,11,1.8091289099846637,1.4546,8.7277,Santa Cruz,Santa Cruz,5,19
88a8a02ac9fffff,9,63,1.0506762475723104,9.0516,53.8852,Santa Cruz,Santa Cruz,5,19
88a8a066c7fffff,6,73,0.3674303540056585,10.3045,61.8608,Santíssimo,Campo Grande,5,18
88a8a02b1dfffff,3,32,0.09167523511993739,4.4807,27.1584,Guaratiba,Guaratiba,5,26
88a8a0671bfffff,44,110,0.2004999676462115,25.3243,150.8655,Realengo,Bangu,5,33
88a8a06051fffff,4,74,1.7009631876922202,6.0008,36.5597,Freguesia (Jacarepaguá),Jacarepaguá,4,16
88a8a060a5fffff,27,165,0.44371783942150095,24.2462,145.0236,Cavalcanti,Madureira,3,15
88a8a07a97fffff,12,32,0.39754832785935756,7.828,46.7961,Vidigal,Zona Sul,2,6
88a8a0614dfffff,9,97,0.8259546856119678,12.7614,76.7896,Tijuca,Tijuca,2,8
88a8a061a1fffff,35,145,0.2582332347851089,27.8576,166.6519,Ramos,Ramos,3,10
88a8a02e65fffff,0,9,2.388884172264928,0.9137,5.4822,Santa Cruz,Santa Cruz,5,19
88a8a06249fffff,4,20,0.8051785440874468,3.5273,22.7916,Barra da Tijuca,Barra da Tijuca,4,24
88a8a02f0dfffff,4,32,1.2209517619651997,3.9885,23.9311,Santa Cruz,Santa Cruz,5,19
88a8a0629dfffff,16,69,0.03574481281797029,13.3101,82.3988,Taquara,Jacarepaguá,4,16
88a8a02f61fffff,2,41,0.2727980445136959,5.7111,34.3455,Santa Cruz,Santa Cruz,5,19
