hex_id,ideb_bairro,nome,codbairro,codra,rp,cod_rp,area_plane
88a8a039e7fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a075e5fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a0290bfffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06509fffff,Deodoro,Deodoro,134,33,Bangu,5.1,5
88a8a0655dfffff,Vila Militar,Vila Militar,135,33,Bangu,5.1,5
88a8a0768dfffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a076e1fffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a02a07fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06605fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a02199fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a07735fffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a02a5bfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06659fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a021edfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a066adfffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a07591fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a02b03fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06701fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a02b57fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06461fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a03993fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06755fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a07885fffff,Botafogo,Botafogo,020,4,Zona Sul,2.1,2
88a8a02863fffff,Inhoaíba,Inhoaíba,146,18,Campo Grande,5.2,5
88a8a078d9fffff,Lagoa,Lagoa,027,6,Zona Sul,2.1,2
88a8a06037fffff,Encantado,Encantado,068,13,Méier,3.2,3
88a8a0608bfffff,Oswaldo Cruz,Osvaldo Cruz,088,15,Madureira,3.3,3
88a8a071bbfffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a06133fffff,Manguinhos,Manguinhos,039,10,Ramos,3.1,3
88a8a06187fffff,Complexo do Alemão,Complexo do Alemão,156,29,Inhaúma,3.4,3
88a8a02e4bfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06a49fffff,Catete,Catete,018,4,Zona Sul,2.1,2
88a8a061dbfffff,Piedade,Piedade,069,13,Méier,3.2,3
88a8a06283fffff,Taquara,Taquara,122,16,Jacarepaguá,4.1,4
