ap,ra,bairro,year,ideb
Área de Planejamento 1,I Portuária,Caju,2007,3.6
Área de Planejamento 1,I Portuária,Caju,2009,3.761240310077519
Área de Planejamento 1,I Portuária,Caju,2011,4.239156626506024
Área de Planejamento 1,I Portuária,Caju,2013,4.12034632034632
Área de Planejamento 1,I Portuária,Caju,2015,4.832786885245902
Área de Planejamento 1,I Portuária,Caju,2017,5.094285714285714
Área de Planejamento 1,I Portuária,Caju,2019,5.581904761904761
Área de Planejamento 1,I Portuária,Caju,2021,4.869565217391305
Área de Planejamento 1,I Portuária,Caju,2023,5.6
Área de Planejamento 1,I Portuária,Gamboa,2007,4.8
Área de Planejamento 1,I Portuária,Gamboa,2009,2.5
Área de Planejamento 1,I Portuária,Santo Cristo,2007,4.5
Área de Planejamento 1,I Portuária,Santo Cristo,2009,3.7000000000000006
Área de Planejamento 1,I Portuária,Santo Cristo,2011,5.1
Área de Planejamento 1,I Portuária,Santo Cristo,2013,4.1
Área de Planejamento 1,I Portuária,Santo Cristo,2015,3.2
Área de Planejamento 1,I Portuária,Santo Cristo,2017,4.8
Área de Planejamento 1,I Portuária,Santo Cristo,2021,4.9
Área de Planejamento 1,I Portuária,Santo Cristo,2023,3.6
Área de Planejamento 1,I Portuária,Saúde,2007,3.4
Área de Planejamento 1,I Portuária,Saúde,2009,3.6
Área de Planejamento 1,I Portuária,Saúde,2011,4.4
Área de Planejamento 1,I Portuária,Saúde,2013,4.9
Área de Planejamento 1,I Portuária,Saúde,2015,4.6
Área de Planejamento 1,I Portuária,Saúde,2017,4.8
Área de Planejamento 1,I Portuária,Saúde,2019,5.1
Área de Planejamento 1,I Portuária,Saúde,2021,4.9
Área de Planejamento 1,I Portuária,Saúde,2023,4.5
Área de Planejamento 1,II Centro,Centro,2007,4.3007518796992485
Área de Planejamento 1,II Centro,Centro,2009,3.1989510489510486
Área de Planejamento 1,II Centro,Centro,2011,4.632960893854748
Área de Planejamento 1,II Centro,Centro,2013,5.290963855421687
Área de Planejamento 1,II Centro,Centro,2015,4.923699421965318
Área de Planejamento 1,II Centro,Centro,2017,4.974033149171271
Área de Planejamento 1,II Centro,Centro,2019,5.091891891891892
Área de Planejamento 1,II Centro,Centro,2023,5.3
Área de Planejamento 1,III Rio Comprido,Catumbi,2007,3.4
Área de Planejamento 1,III Rio Comprido,Catumbi,2009,3.1999999999999997
Área de Planejamento 1,III Rio Comprido,Catumbi,2011,3.9
Área de Planejamento 1,III Rio Comprido,Catumbi,2013,4.0
Área de Planejamento 1,III Rio Comprido,Catumbi,2015,3.5
Área de Planejamento 1,III Rio Comprido,Catumbi,2017,4.3
Área de Planejamento 1,III Rio Comprido,Catumbi,2019,4.8
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2007,4.1637681159420294
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2009,3.3509433962264157
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2011,4.4308000000000005
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2013,4.651798561151079
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2015,5.11639344262295
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2017,5.07620320855615
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2019,5.231313131313131
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2021,4.9
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2023,5.4
Área de Planejamento 1,VII São Cristóvão,Benfica,2007,3.922388059701493
Área de Planejamento 1,VII São Cristóvão,Benfica,2009,3.3362499999999997
Área de Planejamento 1,VII São Cristóvão,Benfica,2011,4.075985663082437
Área de Planejamento 1,VII São Cristóvão,Benfica,2013,4.47732342007435
Área de Planejamento 1,VII São Cristóvão,Benfica,2015,3.1302052785923755
Área de Planejamento 1,VII São Cristóvão,Benfica,2017,4.226829268292683
Área de Planejamento 1,VII São Cristóvão,Benfica,2019,4.451063829787234
Área de Planejamento 1,VII São Cristóvão,Benfica,2021,4.821863799283155
Área de Planejamento 1,VII São Cristóvão,Benfica,2023,4.8
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2007,3.8499999999999996
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2009,3.392
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2011,4.238860103626942
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2013,4.295945945945946
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2015,5.363084112149532
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2017,5.363709677419355
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2019,5.6427312775330405
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2021,5.2
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2023,5.3
Área de Planejamento 1,XXI  Paquetá,Paquetá,2019,5.9
Área de Planejamento 1,XXI  Paquetá,Paquetá,2023,5.7
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2007,4.6
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2009,3.2
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2011,5.14950495049505
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2013,4.7317307692307695
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2015,4.29375
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2017,5.2339712918660295
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2019,5.323664122137404
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2021,5.1
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2023,5.8
Área de Planejamento 2,IV Botafogo,Botafogo,2007,4.765116279069768
Área de Planejamento 2,IV Botafogo,Botafogo,2009,4.292054794520547
Área de Planejamento 2,IV Botafogo,Botafogo,2011,4.553813559322034
Área de Planejamento 2,IV Botafogo,Botafogo,2013,4.774585635359116
Área de Planejamento 2,IV Botafogo,Botafogo,2015,4.7165048543689325
Área de Planejamento 2,IV Botafogo,Botafogo,2017,4.822857142857143
Área de Planejamento 2,IV Botafogo,Botafogo,2019,5.151700680272109
Área de Planejamento 2,IV Botafogo,Botafogo,2023,5.6
Área de Planejamento 2,IV Botafogo,Glória,2007,3.3
Área de Planejamento 2,IV Botafogo,Glória,2009,4.2
Área de Planejamento 2,IV Botafogo,Glória,2011,3.7
Área de Planejamento 2,IV Botafogo,Glória,2013,4.4
Área de Planejamento 2,IV Botafogo,Glória,2015,3.3
Área de Planejamento 2,IV Botafogo,Glória,2017,5.1
Área de Planejamento 2,IV Botafogo,Glória,2019,5.6
Área de Planejamento 2,IV Botafogo,Glória,2021,5.3
Área de Planejamento 2,IV Botafogo,Glória,2023,6.0
Área de Planejamento 2,IV Botafogo,Humaitá,2007,5.3
Área de Planejamento 2,IV Botafogo,Humaitá,2009,4.1
Área de Planejamento 2,IV Botafogo,Humaitá,2011,4.7
Área de Planejamento 2,IV Botafogo,Humaitá,2013,4.0
Área de Planejamento 2,IV Botafogo,Humaitá,2015,3.9
Área de Planejamento 2,IV Botafogo,Humaitá,2019,4.2
Área de Planejamento 2,IV Botafogo,Humaitá,2023,4.9
Área de Planejamento 2,IV Botafogo,Laranjeiras,2007,3.6
Área de Planejamento 2,IV Botafogo,Laranjeiras,2009,3.7000000000000006
Área de Planejamento 2,IV Botafogo,Laranjeiras,2011,4.4
Área de Planejamento 2,IV Botafogo,Laranjeiras,2013,4.5
Área de Planejamento 2,IV Botafogo,Laranjeiras,2015,4.1
Área de Planejamento 2,IV Botafogo,Laranjeiras,2017,5.5
Área de Planejamento 2,IV Botafogo,Laranjeiras,2019,4.9
Área de Planejamento 2,IV Botafogo,Laranjeiras,2023,5.7
Área de Planejamento 2,IV Botafogo,Urca,2007,5.3500000000000005
Área de Planejamento 2,IV Botafogo,Urca,2009,5.234210526315789
Área de Planejamento 2,IV Botafogo,Urca,2011,6.087037037037036
Área de Planejamento 2,IV Botafogo,Urca,2013,6.126633165829146
Área de Planejamento 2,IV Botafogo,Urca,2015,5.267021276595745
Área de Planejamento 2,IV Botafogo,Urca,2017,6.233557046979866
Área de Planejamento 2,IV Botafogo,Urca,2019,6.0
Área de Planejamento 2,IV Botafogo,Urca,2021,6.1
Área de Planejamento 2,IV Botafogo,Urca,2023,6.1
Área de Planejamento 2,V Copacabana,Copacabana,2007,4.753409090909091
Área de Planejamento 2,V Copacabana,Copacabana,2009,4.2722063037249285
Área de Planejamento 2,V Copacabana,Copacabana,2011,4.8133333333333335
Área de Planejamento 2,V Copacabana,Copacabana,2013,4.838235294117647
Área de Planejamento 2,V Copacabana,Copacabana,2015,4.472093023255813
Área de Planejamento 2,V Copacabana,Copacabana,2017,5.055555555555555
Área de Planejamento 2,V Copacabana,Copacabana,2019,5.492857142857142
Área de Planejamento 2,V Copacabana,Copacabana,2021,5.9
Área de Planejamento 2,V Copacabana,Copacabana,2023,5.2
Área de Planejamento 2,V Copacabana,Leme,2007,4.1
Área de Planejamento 2,V Copacabana,Leme,2009,3.8
Área de Planejamento 2,V Copacabana,Leme,2011,4.5
