ap,ra,bairro,year,ideb
Área de Planejamento 1,I Portuária,Caju,2007,4.4035087719298245
Área de Planejamento 1,I Portuária,Caju,2009,4.798701298701299
Área de Planejamento 1,I Portuária,Caju,2011,4.931907894736842
Área de Planejamento 1,I Portuária,Caju,2013,4.456597222222222
Área de Planejamento 1,I Portuária,Caju,2015,5.110322580645161
Área de Planejamento 1,I Portuária,Caju,2017,5.56789667896679
Área de Planejamento 1,I Portuária,Caju,2019,6.158536585365853
Área de Planejamento 1,I Portuária,Caju,2021,6.4
Área de Planejamento 1,I Portuária,Caju,2023,5.8
Área de Planejamento 1,I Portuária,Gamboa,2007,4.0
Área de Planejamento 1,I Portuária,Gamboa,2009,3.7999999999999994
Área de Planejamento 1,I Portuária,Gamboa,2011,4.3
Área de Planejamento 1,I Portuária,Gamboa,2013,4.3
Área de Planejamento 1,I Portuária,Gamboa,2015,5.6
Área de Planejamento 1,I Portuária,Gamboa,2017,5.2
Área de Planejamento 1,I Portuária,Gamboa,2019,5.5
Área de Planejamento 1,I Portuária,Gamboa,2023,5.7
Área de Planejamento 1,I Portuária,Santo Cristo,2007,4.278499999999999
Área de Planejamento 1,I Portuária,Santo Cristo,2009,5.070967741935483
Área de Planejamento 1,I Portuária,Santo Cristo,2011,5.532885906040269
Área de Planejamento 1,I Portuária,Santo Cristo,2013,5.166875
Área de Planejamento 1,I Portuária,Santo Cristo,2015,5.207446808510638
Área de Planejamento 1,I Portuária,Santo Cristo,2017,5.573652694610778
Área de Planejamento 1,I Portuária,Santo Cristo,2019,5.128387096774193
Área de Planejamento 1,I Portuária,Santo Cristo,2021,5.139137931034482
Área de Planejamento 1,I Portuária,Santo Cristo,2023,4.9
Área de Planejamento 1,I Portuária,Saúde,2007,4.0
Área de Planejamento 1,I Portuária,Saúde,2009,4.2
Área de Planejamento 1,II Centro,Centro,2007,4.491666666666667
Área de Planejamento 1,II Centro,Centro,2009,5.010035842293907
Área de Planejamento 1,II Centro,Centro,2011,5.2477099236641225
Área de Planejamento 1,II Centro,Centro,2013,5.1626666666666665
Área de Planejamento 1,II Centro,Centro,2015,5.427461139896373
Área de Planejamento 1,II Centro,Centro,2017,5.8613168724279845
Área de Planejamento 1,II Centro,Centro,2019,5.708465608465609
Área de Planejamento 1,II Centro,Centro,2023,6.3
Área de Planejamento 1,III Rio Comprido,Catumbi,2007,3.0
Área de Planejamento 1,III Rio Comprido,Catumbi,2009,3.8
Área de Planejamento 1,III Rio Comprido,Catumbi,2011,3.9000000000000004
Área de Planejamento 1,III Rio Comprido,Catumbi,2013,4.4
Área de Planejamento 1,III Rio Comprido,Catumbi,2015,4.5
Área de Planejamento 1,III Rio Comprido,Catumbi,2017,5.9
Área de Planejamento 1,III Rio Comprido,Catumbi,2019,5.714285714285714
Área de Planejamento 1,III Rio Comprido,Catumbi,2021,6.099999999999999
Área de Planejamento 1,III Rio Comprido,Catumbi,2023,6.9
Área de Planejamento 1,III Rio Comprido,Estácio,2007,3.5
Área de Planejamento 1,III Rio Comprido,Estácio,2009,4.1
Área de Planejamento 1,III Rio Comprido,Estácio,2011,4.8
Área de Planejamento 1,III Rio Comprido,Estácio,2013,5.0
Área de Planejamento 1,III Rio Comprido,Estácio,2015,5.9
Área de Planejamento 1,III Rio Comprido,Estácio,2017,5.2
Área de Planejamento 1,III Rio Comprido,Estácio,2019,5.5
Área de Planejamento 1,III Rio Comprido,Estácio,2021,4.6
Área de Planejamento 1,III Rio Comprido,Estácio,2023,5.5
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2007,4.254364089775561
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2009,4.623574144486692
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2011,4.8728643216080405
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2013,4.913483146067416
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2015,4.967073170731708
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2017,5.073148148148148
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2019,5.579464285714286
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2021,5.5
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2023,5.6
Área de Planejamento 1,VII São Cristóvão,Benfica,2007,4.098684210526316
Área de Planejamento 1,VII São Cristóvão,Benfica,2009,4.721212121212121
Área de Planejamento 1,VII São Cristóvão,Benfica,2011,4.673866090712743
Área de Planejamento 1,VII São Cristóvão,Benfica,2013,4.718448637316562
Área de Planejamento 1,VII São Cristóvão,Benfica,2015,4.972602739726027
Área de Planejamento 1,VII São Cristóvão,Benfica,2017,5.398092643051771
Área de Planejamento 1,VII São Cristóvão,Benfica,2019,5.441926345609065
Área de Planejamento 1,VII São Cristóvão,Benfica,2021,5.064933333333333
Área de Planejamento 1,VII São Cristóvão,Benfica,2023,5.9
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2007,5.111506849315068
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2009,5.196541786743516
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2011,5.314761904761904
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2013,5.681226053639847
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2015,5.7062893081761015
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2017,6.141254125412542
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2019,6.024773413897281
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2021,5.354210956663941
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2023,6.2
Área de Planejamento 1,VII São Cristóvão,Vasco da Gama,2007,5.0
