ra,bairro,component,year,value
I Portuária,Caju,aprovacao,2007,98.4319298245614
I Portuária,Caju,aprovacao,2009,91.15974025974026
I Portuária,Caju,aprovacao,2011,93.5263157894737
I Portuária,Caju,aprovacao,2013,87.11145833333333
I Portuária,Caju,aprovacao,2015,88.15483870967742
I Portuária,Caju,aprovacao,2017,94.68708487084871
I Portuária,Caju,aprovacao,2019,97.84268292682926
I Portuária,Caju,aprovacao,2021,100.0
I Portuária,Caju,aprovacao,2023,95.4
I Portuária,Caju,saeb,2007,4.488315789473685
I Portuária,Caju,saeb,2009,5.33064935064935
I Portuária,Caju,saeb,2011,5.404309210526315
I Portuária,Caju,saeb,2013,5.319201388888889
I Portuária,Caju,saeb,2015,5.789548387096774
I Portuária,Caju,saeb,2017,6.091771217712177
I Portuária,Caju,saeb,2019,6.482804878048781
I Portuária,Caju,saeb,2021,6.378428
I Portuária,Caju,saeb,2023,6.0
I Portuária,Caju,ideb,2007,4.4035087719298245
I Portuária,Caju,ideb,2009,4.798701298701299
I Portuária,Caju,ideb,2011,4.931907894736842
I Portuária,Caju,ideb,2013,4.456597222222222
I Portuária,Caju,ideb,2015,5.110322580645161
I Portuária,Caju,ideb,2017,5.56789667896679
I Portuária,Caju,ideb,2019,6.158536585365853
I Portuária,Caju,ideb,2021,6.4
I Portuária,Caju,ideb,2023,5.8
I Portuária,Gamboa,aprovacao,2007,96.0
I Portuária,Gamboa,aprovacao,2009,70.1
I Portuária,Gamboa,aprovacao,2011,88.7
I Portuária,Gamboa,aprovacao,2013,83.3
I Portuária,Gamboa,aprovacao,2015,87.9
I Portuária,Gamboa,aprovacao,2017,89.59999999999998
I Portuária,Gamboa,aprovacao,2019,98.5
I Portuária,Gamboa,aprovacao,2023,99.5
I Portuária,Gamboa,saeb,2007,4.09
I Portuária,Gamboa,saeb,2009,5.52
I Portuária,Gamboa,saeb,2011,5.06
I Portuária,Gamboa,saeb,2013,5.66
I Portuária,Gamboa,saeb,2015,6.21
I Portuária,Gamboa,saeb,2017,6.18
