ap,ra,bairro,year,total_matriculas
Área de Planejamento 1,I Portuária,Saúde,2010,662.0
Área de Planejamento 1,I Portuária,Gamboa,2010,944.0
Área de Planejamento 1,I Portuária,Santo Cristo,2010,1691.0
Área de Planejamento 1,I Portuária,Caju,2010,3851.0
Área de Planejamento 1,II Centro,Centro,2010,5459.0
Área de Planejamento 1,III Rio Comprido,Catumbi,2010,1599.0
Área de Planejamento 1,III Rio Comprido,Rio Comprido,2010,3663.0
Área de Planejamento 1,III Rio Comprido,Cidade Nova,2010,791.0
Área de Planejamento 1,III Rio Comprido,Estácio,2010,731.0
Área de Planejamento 1,VII São Cristóvão,Imperial de São Cristóvão,2010,3821.0
Área de Planejamento 1,VII São Cristóvão,Mangueira,2010,968.0
Área de Planejamento 1,VII São Cristóvão,Benfica,2010,4887.0
Área de Planejamento 1,VII São Cristóvão,Vasco da Gama,2010,717.0
Área de Planejamento 1,XXI Paquetá,Paquetá,2010,490.0
Área de Planejamento 1,XXIII Santa Teresa,Santa Teresa,2010,3070.0
Área de Planejamento 2,IV Botafogo,Flamengo,2010,778.0
Área de Planejamento 2,IV Botafogo,Glória,2010,533.0
Área de Planejamento 2,IV Botafogo,Laranjeiras,2010,2109.0
Área de Planejamento 2,IV Botafogo,Catete,2010,871.0
Área de Planejamento 2,IV Botafogo,Cosme Velho,2010,200.0
Área de Planejamento 2,IV Botafogo,Botafogo,2010,2330.0
Área de Planejamento 2,IV Botafogo,Humaitá,2010,934.0
Área de Planejamento 2,IV Botafogo,Urca,2010,1445.0
Área de Planejamento 2,V Copacabana,Leme,2010,621.0
Área de Planejamento 2,V Copacabana,Copacabana,2010,3806.0
Área de Planejamento 2,VI Lagoa,Ipanema,2010,2631.0
Área de Planejamento 2,VI Lagoa,Leblon,2010,3299.0
Área de Planejamento 2,VI Lagoa,Lagoa,2010,929.0
Área de Planejamento 2,VI Lagoa,Jardim Botânico,2010,1317.0
Área de Planejamento 2,VI Lagoa,Gávea,2010,3307.0
Área de Planejamento 2,VI Lagoa,Vidigal,2010,1370.0
Área de Planejamento 2,VI Lagoa,São Conrado,2010,1697.0
Área de Planejamento 2,VIII Tijuca,Praça da Bandeira,2010,1122.0
Área de Planejamento 2,VIII Tijuca,Tijuca,2010,8236.0
Área de Planejamento 2,VIII Tijuca,Alto da Boa Vista,2010,1766.0
Área de Planejamento 2,IX Vila Isabel,Maracanã,2010,1568.0
Área de Planejamento 2,IX Vila Isabel,Vila Isabel,2010,5335.0
Área de Planejamento 2,IX Vila Isabel,Andaraí,2010,2989.0
Área de Planejamento 2,IX Vila Isabel,Grajaú,2010,3439.0
Área de Planejamento 2,XXVII Rocinha,Rocinha,2010,2190.0
Área de Planejamento 3,X Ramos,Manguinhos,2010,3029.0
Área de Planejamento 3,X Ramos,Bonsucesso,2010,3233.0
Área de Planejamento 3,X Ramos,Ramos,2010,9699.0
Área de Planejamento 3,X Ramos,Olaria,2010,8035.0
Área de Planejamento 3,XI Penha,Penha,2010,8391.0
Área de Planejamento 3,XI Penha,Penha Circular,2010,5826.0
Área de Planejamento 3,XI Penha,Brás de Pina,2010,4889.0
Área de Planejamento 3,XII Inhaúma,Higienópolis,2010,5099.0
Área de Planejamento 3,XII Inhaúma,Maria da Graça,2010,1068.0
Área de Planejamento 3,XII Inhaúma,Del Castilho,2010,2052.0
Área de Planejamento 3,XII Inhaúma,Inhaúma,2010,10402.0
Área de Planejamento 3,XII Inhaúma,Engenho da Rainha,2010,3321.0
Área de Planejamento 3,XII Inhaúma,Tomás Coelho,2010,1313.0
Área de Planejamento 3,XIII Méier,Jacaré,2010,2427.0
Área de Planejamento 3,XIII Méier,Rocha,2010,1365.0
