bairro,value,z,lag_z,local_i,pseudo_p,lisa_class
jardim sulacap,7.1,2.1816,0.5538,1.2081,0.162,NS
vaz lobo,5.1,-1.8049,-0.4429,0.7994,0.282,NS
magalhaes bastos,5.7,-0.609,0.288,-0.1754,0.713,NS
realengo,6.1,0.1883,0.2548,0.048,0.43,NS
sepetiba,5.7,-0.609,-0.1107,0.0674,0.894,NS
padre miguel,5.9,-0.2103,-0.1107,0.0233,0.86,NS
senador camara,5.7,-0.609,0.2382,-0.145,0.493,NS
guaratiba,5.9,-0.2103,0.3129,-0.0658,0.363,NS
barra de guaratiba,6.7,1.3843,0.1219,0.1687,0.832,NS
cacuia,5.8,-0.4096,0.3877,-0.1588,0.342,NS
bancarios,5.8,-0.4096,-0.011,0.0045,1.0,NS
rocinha,5.9,-0.2103,-0.1439,0.0303,0.8,NS
jacarezinho,5.2,-1.6056,-0.8083,1.2978,0.041,LL
urca,7.2,2.3809,0.4541,1.0812,0.423,NS
zumbi,6.0,-0.011,0.1883,-0.0021,0.814,NS
penha,5.9,-0.2103,-0.011,0.0023,0.98,NS
galeao,6.2,0.3877,0.587,0.2275,0.4,NS
cidade universitaria,6.4,0.7863,0.0,0.0,1.0,NS
jacarepagua,6.4,0.7863,-0.1979,-0.1556,0.406,NS
parque anchieta,6.2,0.3877,-0.1605,-0.0622,0.761,NS
santissimo,6.6,1.185,-0.011,-0.013,0.981,NS
jardim botanico,7.1,2.1816,0.587,1.2805,0.239,NS
gavea,6.1,0.1883,0.4731,0.0891,0.221,NS
vidigal,5.2,-1.6056,0.3378,-0.5424,0.506,NS
sao conrado,6.5,0.9856,-0.2435,-0.24,0.542,NS
tijuca,5.9,-0.2103,0.046,-0.0097,0.9,NS
alto da boa vista,5.9,-0.2103,0.2083,-0.0438,0.498,NS
senador vasconcelos,6.2,0.3877,0.3877,0.1503,0.536,NS
paqueta,5.2,-1.6056,0.0,-0.0,1.0,NS
santa teresa,5.9,-0.2103,0.4762,-0.1002,0.143,NS
flamengo,6.8,1.5836,0.587,0.9295,0.24,NS
engenheiro leal,5.8,-0.4096,-0.2103,0.0862,0.719,NS
cosmos,6.0,-0.011,0.2282,-0.0025,0.599,NS
paciencia,6.4,0.7863,0.1883,0.1481,0.777,NS
