bairro,value,z,lag_z,local_i,pseudo_p,lisa_class
jardim sulacap,0.6419,0.6091,0.177,0.1078,0.677,NS
vaz lobo,0.5816,-0.2355,-0.3245,0.0764,0.451,NS
magalhaes bastos,0.5633,-0.4909,-0.4301,0.2112,0.576,NS
realengo,0.5642,-0.4785,-0.3568,0.1707,0.272,NS
sepetiba,0.5251,-1.0254,-1.2567,1.2886,0.061,NS
padre miguel,0.5693,-0.4067,-0.5203,0.2116,0.48,NS
senador camara,0.5404,-0.8111,-0.892,0.7235,0.015,LL
guaratiba,0.4861,-1.5707,-1.1094,1.7425,0.004,LL
barra de guaratiba,0.481,-1.6424,-0.8517,1.3988,0.113,NS
cacuia,0.581,-0.2441,0.3874,-0.0946,0.379,NS
bancarios,0.5952,-0.0443,-0.6402,0.0284,0.467,NS
rocinha,0.5233,-1.0512,1.347,-1.4159,0.019,LH
jacarezinho,0.5274,-0.9935,-0.1679,0.1668,0.693,NS
urca,0.7523,2.1533,1.8373,3.9563,0.007,HH
zumbi,0.6621,0.8915,-0.4531,-0.4039,0.546,NS
penha,0.583,-0.215,-0.3273,0.0704,0.517,NS
galeao,0.5442,-0.7584,0.9837,-0.7461,0.138,NS
cidade universitaria,0.5649,-0.4689,0.0,-0.0,1.0,NS
jacarepagua,0.5298,-0.9598,-0.2686,0.2578,0.249,NS
parque anchieta,0.5801,-0.2558,-0.4721,0.1208,0.363,NS
santissimo,0.5578,-0.5675,-0.6391,0.3627,0.19,NS
jardim botanico,0.7668,2.355,1.4892,3.507,0.004,HH
gavea,0.7731,2.444,0.999,2.4416,0.006,HH
vidigal,0.5348,-0.8892,1.6043,-1.4266,0.004,LH
sao conrado,0.7761,2.4861,0.0141,0.035,0.971,NS
tijuca,0.7045,1.4843,0.5369,0.797,0.126,NS
alto da boa vista,0.4993,-1.3863,0.9635,-1.3358,0.004,LH
senador vasconcelos,0.5457,-0.737,-0.6083,0.4483,0.281,NS
paqueta,0.5965,-0.0268,0.0,-0.0,1.0,NS
santa teresa,0.6058,0.104,0.6383,0.0664,0.042,HH
flamengo,0.7257,1.7811,1.4867,2.6481,0.003,HH
engenheiro leal,0.5566,-0.5849,-0.2869,0.1678,0.648,NS
cosmos,0.5431,-0.7733,-0.9371,0.7246,0.035,LL
paciencia,0.5411,-0.8016,-0.7208,0.5777,0.187,NS
santa cruz,0.531,-0.9428,-1.0427,0.9831,0.04,LL
pedra de guaratiba,0.5535,-0.6285,-1.5707,0.9871,0.134,NS
parque columbia,0.5304,-0.9513,-0.4587,0.4364,0.307,NS
complexo do alemao,0.523,-1.0543,-0.1059,0.1117,0.801,NS
vasco da gama,0.5676,-0.4303,-0.8001,0.3443,0.241,NS
curicica,0.5738,-0.3438,-0.456,0.1568,0.556,NS
gardenia azul,0.5439,-0.7627,-0.2975,0.2269,0.58,NS
taquara,0.6018,0.0478,-0.2379,-0.0114,0.528,NS
santo cristo,0.5493,-0.687,-0.158,0.1085,0.777,NS
caju,0.5326,-0.9201,-0.7729,0.7112,0.073,NS
bangu,0.5582,-0.5621,-0.542,0.3046,0.21,NS
centro,0.6136,0.2131,-0.0279,-0.0059,0.954,NS
campo grande,0.5665,-0.4462,-1.02,0.4551,0.003,LL
inhoaiba,0.5323,-0.9242,-0.9301,0.8596,0.096,NS
catumbi,0.5386,-0.8361,-0.2368,0.198,0.708,NS
mare,0.5334,-0.9098,-0.387,0.3522,0.322,NS
estacio,0.551,-0.6631,-0.0538,0.0357,0.932,NS
gamboa,0.5447,-0.7512,-0.237,0.178,0.761,NS
