id,title,file_bytes,n_pages,has_text_layer,is_encrypted,colecao,issue_year,num_views,tags,first_paragraph,parse_error
07ad37f25d0145b18ff83e6b81a1ce82,RIO ESTUDOS Nº 170 - Ações Culturais para crianças e adolescentes da Rede Municipal de Ensino entre 2001-2005 (Agosto/2005),439217,13,False,False,Rio Estudos,2005,443,Educação|Escolaridade da população,,
0a79b57e35824eae8d9676867a997b42,COLEÇÃO ESTUDOS CARIOCAS - O analfabetismo na Cidade do Rio de Janeiro 1991/2000 (Agosto/2002),2162445,8,True,False,Estudos Cariocas,2002,727,Educação|Escolaridade da população,"ISSN 1984-7203 COLEÇÃO ESTUDOS CARIOCAS O Analfabetismo na cidade do Rio de  Janeiro: 1991- 2000  Nº 20020801  Agosto - 2002    Fernando Cavallieri, Márcia Frota Sigaud - IPP/Prefeitura da Cidade do Rio  de Janeiro  PREFEITURA DA CIDADE DO RIO DE JANEIRO  Secretaria Municipal de ",
1004354d02c44b818dc7c32ce3c2e4a5,COLEÇÃO ESTUDOS CARIOCAS - Aos mestres com reconhecimento: como os educadores enfrentam a violência carioca de cada dia (Abril/2002),1298364,13,True,False,Estudos Cariocas,2002,508,Educação,"ISSN 1984-7203 COLEÇÃO ESTUDOS CARIOCAS Aos mestres com reconhecimento:  como os educadores cariocas  enfrentam a violência carioca de cada  dia  Nº 20020401  Abril - 2002    Fernando Cavallieri, Alcides Carneiro - IPP/Prefeitura da Cidade do Rio de  Janeiro  PREFEITURA DA CIDADE",
1013ac66372a40de9d6bae43b66ff198,RIO ESTUDOS Nº 30 - O papel do diretor na revolução da educação (Setembro/2001),365359,15,True,False,Rio Estudos,2001,486,Educação|Educação básica,,
1403069227b14a64a41d209cdaf81e29,"RIO ESTUDOS Nº 20 - A integração entre justiça, polícia e escola na França (Junho/2001)",288930,10,True,False,Rio Estudos,2001,534,Educação,,
18bc0480d7a84464b2ace33b19a5c558,Cadernos do Rio - Prévias do Censo: Cor ou Raça (Dezembro/2024),4494998,19,False,False,Cadernos do Rio,2024,485,censo 2022|cadernos do rio|cor ou raça|cor|raça|igualdade racial|sexo|idade|faixa etária|jovens|adultos|idosos|crianças|envelhecimento|população|saúde|4056|prévias do censo|terceira idade,,
29d517eedb9c44379a07430280a12839,Favelas Cariocas: Índice de Qualidade Urbana - Reedição digital 2026 - 1ª Edição (Impressa) 1997,9454094,90,True,False,(outros),2026,27,Índice de Qualidade Urbana|IQU|Índice de Desenvolvimento Social|IDS|Índices de Desenvolvimento Socioeconômicos|Regiões Administrativas|RA|Favelas|Assentamentos de baixa Renda|Indicadores Sociais|Infraestrutura Urbana,PREFEITURA DA CIDADE DO RIO DE JANEIRO | INSTITUTO PEREIRA PASSOS,
2ababb1025a44aab9e823326796e93b0,RIO ESTUDOS Nº 56 - Como se tornar um Diretor-líder  (Junho/2002),234541,5,False,False,Rio Estudos,2002,427,Educação|Educação básica,,
30ce1f4ac9534ec8ba18c23d6d5057ce,RIO ESTUDOS Nº 227 - Os precursores da educação nova (Novembro/2006),303577,4,False,False,Rio Estudos,2006,530,Educação|Educação básica,,
32b6d55e5e2e4dd9b590ab3489a2835f,"RIO ESTUDOS Nº 06 - França, a luta contra a violência nas escolas (Abril/2001)",360635,14,True,False,Rio Estudos,2001,380,Educação,,
