bairro,ap,ra,matriculas,escolas,ideb,log_predicted_escolas,sami
Caju,Área de Planejamento 1,I Portuária,4174.0,5.0,4.931907894736842,1.6273968959717706,-0.018
Gamboa,Área de Planejamento 1,I Portuária,987.0,1.0,4.3,0.5201796865848598,-0.5202
Santo Cristo,Área de Planejamento 1,I Portuária,1617.0,3.0,5.532885906040269,0.89923764640307,0.1994
Saúde,Área de Planejamento 1,I Portuária,722.0,1.0,,0.2801135247401447,-0.2801
Centro,Área de Planejamento 1,II Centro,4915.0,4.0,5.2477099236641225,1.7528775249066495,-0.3666
Catumbi,Área de Planejamento 1,III Rio Comprido,1698.0,2.0,3.9000000000000004,0.9367692857246208,-0.2436
Estácio,Área de Planejamento 1,III Rio Comprido,797.0,1.0,4.8,0.35600034803077474,-0.356
Rio Comprido,Área de Planejamento 1,III Rio Comprido,3477.0,5.0,4.8728643216080405,1.4871058585293486,0.1223
Benfica,Área de Planejamento 1,VII São Cristóvão,5358.0,4.0,4.673866090712743,1.8191427154533635,-0.4328
Imperial de São Cristóvão,Área de Planejamento 1,VII São Cristóvão,3703.0,7.0,5.314761904761904,1.5354603787879064,0.4104
Vasco da Gama,Área de Planejamento 1,VII São Cristóvão,903.0,1.0,6.5,0.45188085446960535,-0.4519
Paquetá,Área de Planejamento 1,XXI  Paquetá,468.0,1.0,6.0,-0.052795558550749355,0.0528
Santa Teresa,Área de Planejamento 1,XXIII Santa Teresa,3821.0,4.0,6.048159509202454,1.5595471410445194,-0.1733
Botafogo,Área de Planejamento 2,IV Botafogo,2295.0,4.0,5.725531914893618,1.1681101922331223,0.2182
Catete,Área de Planejamento 2,IV Botafogo,879.0,1.0,5.1,0.43119662258401714,-0.4312
Flamengo,Área de Planejamento 2,IV Botafogo,760.0,3.0,6.163855421686748,0.31949937204069645,0.7791
Humaitá,Área de Planejamento 2,IV Botafogo,952.0,1.0,6.6,0.4924562537931214,-0.4925
Laranjeiras,Área de Planejamento 2,IV Botafogo,2003.0,4.0,6.022641509433962,1.0636151803673268,0.3227
Urca,Área de Planejamento 2,IV Botafogo,1422.0,2.0,6.70709219858156,0.8005618576701652,-0.1074
Copacabana,Área de Planejamento 2,V Copacabana,3870.0,6.0,6.495394736842105,1.5693314180623084,0.2224
Leme,Área de Planejamento 2,V Copacabana,615.0,1.0,4.9,0.15694726952865157,-0.1569
Gávea,Área de Planejamento 2,VI Lagoa,3256.0,5.0,4.765193370165746,1.4366804653104897,0.1728
Ipanema,Área de Planejamento 2,VI Lagoa,2560.0,3.0,5.0888888888888895,1.2520171721533497,-0.1534
Jardim Botânico,Área de Planejamento 2,VI Lagoa,1253.0,3.0,5.799999999999999,0.7034099505127855,0.3952
Lagoa,Área de Planejamento 2,VI Lagoa,952.0,2.0,5.798314606741573,0.4924562537931214,0.2007
Leblon,Área de Planejamento 2,VI Lagoa,3011.0,3.0,6.5299270072992694,1.3766132667185387,-0.278
São Conrado,Área de Planejamento 2,VI Lagoa,1668.0,1.0,6.3,0.9230816563151105,-0.9231
Vidigal,Área de Planejamento 2,VI Lagoa,1377.0,2.0,5.282222222222222,0.7758698369374928,-0.0827
Rocinha,Área de Planejamento 2,XXVII Rocinha,2202.0,3.0,4.993518518518518,1.1363464560012044,-0.0377
Alto da Boa Vista,Área de Planejamento 2,VIII Tijuca,1698.0,6.0,5.506341463414634,0.9367692857246208,0.855
Praça da Bandeira,Área de Planejamento 2,VIII Tijuca,1073.0,2.0,5.28,0.5843291933836818,0.1088
Tijuca,Área de Planejamento 2,VIII Tijuca,8303.0,12.0,5.535387045813586,2.1554835616733303,0.3294
Andaraí,Área de Planejamento 2,IX Vila Isabel,2756.0,4.0,5.713636363636363,1.3086642617165962,0.0776
Grajaú,Área de Planejamento 2,IX Vila Isabel,3393.0,3.0,5.377173913043478,1.4683276659673474,-0.3697
Maracanã,Área de Planejamento 2,IX Vila Isabel,1615.0,4.0,7.114659685863874,0.8982873298495244,0.488
Vila Isabel,Área de Planejamento 2,IX Vila Isabel,5314.0,9.0,5.336893203883495,1.812811036061003,0.3844
Bonsucesso,Área de Planejamento 3,X Ramos,2879.0,2.0,5.338362068965517,1.34219088191342,-0.649
Manguinhos,Área de Planejamento 3,X Ramos,3535.0,4.0,4.449066666666667,1.4998088377096703,-0.1135
Olaria,Área de Planejamento 3,X Ramos,7530.0,10.0,5.446839080459771,2.0804472816960553,0.2221
Ramos,Área de Planejamento 3,X Ramos,9526.0,9.0,5.326039387308534,2.26099308002431,-0.0638
Maré,Área de Planejamento 3,XXX Maré,15506.0,23.0,4.773999999999999,2.635094011818307,0.5004
Água Santa,Área de Planejamento 3,XIII Méier,769.0,1.0,5.6,0.32853898081694854,-0.3285
Cachambi,Área de Planejamento 3,XIII Méier,2617.0,5.0,5.9477157360406085,1.268926402332899,0.3405
Encantado,Área de Planejamento 3,XIII Méier,678.0,2.0,6.6,0.2318324099127782,0.4613
Engenho de Dentro,Área de Planejamento 3,XIII Méier,4863.0,5.0,5.750958904109589,1.7447104413231331,-0.1353
Engenho Novo,Área de Planejamento 3,XIII Méier,2015.0,3.0,5.494270833333334,1.068201688840639,0.0304
Jacaré,Área de Planejamento 3,XIII Méier,2201.0,3.0,5.220909090909091,1.1359976684970228,-0.0374
Lins de Vasconcelos,Área de Planejamento 3,XIII Méier,3188.0,2.0,4.917721518987341,1.4204743435621543,-0.7273
Méier,Área de Planejamento 3,XIII Méier,3631.0,6.0,5.438629283489097,1.5203833716998112,0.2714
Piedade,Área de Planejamento 3,XIII Méier,2990.0,5.0,5.677407407407408,1.3712391507230377,0.2382
Pilares,Área de Planejamento 3,XIII Méier,2547.0,2.0,5.953968253968254,1.248107970913959,-0.555
Riachuelo,Área de Planejamento 3,XIII Méier,1650.0,2.0,5.289677419354838,0.9147504099127319,-0.2216
Rocha,Área de Planejamento 3,XIII Méier,1324.0,3.0,5.618939393939394,0.7457316841770041,0.3529
Sampaio,Área de Planejamento 3,XIII Méier,390.0,1.0,5.9,-0.19279220102081052,0.1928
