id,title,format,n_sheets,years_min,years_max,max_unique_first_col,num_views,data_sheet,header_row,granularity_real,verdict,rationale
1f908c6de87f42e7b4ae513788e0ccce,"Ensino de pós-graduação: número de programas de pós-graduação, por nível, agrupados por Instituição no Município do Rio de Janeiro entre 2000-2022",xls,24,2000,2024,50,110,2000,5,RA / bairro (nomes geográficos do Rio),USE,sheet '2000' header @ linha 5; granularidade: RA / bairro (nomes geográficos do Rio); 8 colunas no header
fb6ece5b0fc14c18839e9f510fcae09b,"Taxa de analfabetos por faixas etárias, por Bairros ou grupos de Bairros no Município do Rio de Janeiro em 1991/2000/2010",xls,6,1991,2010,131,635,RA_1991,5,RA / bairro (nomes geográficos do Rio),USE,sheet 'RA_1991' header @ linha 5; granularidade: RA / bairro (nomes geográficos do Rio); 7 colunas no header
b7b66567492942adb5b49085a93cffb8,Percentagem de crianças por faixa etária: matriculados em creches/escolas; com mais de um ano de atraso escolar; matriculados com acesso ao ensino fundamental e frequência escolar no Município do Rio de Janeiro em 1991/2000/2010,xls,7,1991,2010,131,189,RA_1991,7,RA / bairro (nomes geográficos do Rio),USE,sheet 'RA_1991' header @ linha 7; granularidade: RA / bairro (nomes geográficos do Rio); 7 colunas no header
9fd1a8cc207a48c5bda7131e4e74b1ca,"IDEB das séries iniciais e finais segundo as Áreas de Planejamento (AP), Regiões de Planejamento (RP), Regiões Administrativas (RA) e Bairros do Município do Rio de Janeiro em 2007/2009/2011/2013/2015/2017/2019/2021/2023",xls,6,2005,2021,112,601,ANOS_INICIAIS,6,RA / bairro (nomes geográficos do Rio),USE,sheet 'ANOS_INICIAIS' header @ linha 6; granularidade: RA / bairro (nomes geográficos do Rio); 7 colunas no header
6bba93cdd9014dac9cdc7c36d226cf15,Número e valor do Investimentos realizados pelo CNPQ em bolsas e no fomento à pesquisa segundo a modalidade no Estado do Rio de Janeiro entre 2001-2015,xls,6,2001,2017,49,69,País_1,6,(totais / agregado),SKIP,granularidade: (totais / agregado)
6574a63ac2ce4fb39ba528a8c4bdec15,"Educação Infantil e Ensino Fundamental: matrículas inicial e final, por ano, segundo a correspondência entre séries e segmentos na rede pública municipal do Rio de Janeiro, entre 1992-2007",xls,2,1992,2007,40,139,1992-2004,7,(rótulos heterogêneos — auditar manualmente),NEEDS_CLEANING,sheet '1992-2004' header @ linha 7; granularidade não reconhecida ((rótulos heterogêneos — auditar manualmente))
918dd39478594792a9cfa7080b84c0b5,Base de dados do Índice de Progresso Social - IPS por Regiões Administrativas (RA) - Município do Rio de Janeiro - 2016/2018/2020/2022/2024,xlsx,13,2010,2024,35,1403,Dimensões e Componentes 2016,6,RA (numeração romana — XX RAs do Rio),USE,sheet 'Dimensões e Componentes 2016' header @ linha 6; granularidade: RA (numeração romana — XX RAs do Rio); 6 colunas no header
169c46ae23b04dc8ad494e4fe6c04eb5,"Ensino de pós-graduação: investimentos realizados pelo CNPQ em bolsas e no fomento à pesquisa, segundo a área de conhecimento, no Estado do Rio de Janeiro entre 2001-2015",xls,1,2001,2015,102,90,T 1688,7,(rótulos heterogêneos — auditar manualmente),NEEDS_CLEANING,sheet 'T 1688' header @ linha 7; granularidade não reconhecida ((rótulos heterogêneos — auditar manualmente))
4f7b7e9578e14e5c8d865c4e5c2074ba,"Investimentos realizados pelo CNPQ em bolsas e no fomento à pesquisa, segundo a Instituição no Estado do Rio de Janeiro, entre 2001-2015",xls,3,2001,2015,335,62,2001-2005,7,(rótulos heterogêneos — auditar manualmente),NEEDS_CLEANING,sheet '2001-2005' header @ linha 7; granularidade não reconhecida ((rótulos heterogêneos — auditar manualmente))
c9e9bae1f47c46a8a0e17e56e774bede,"Indicadores de Educação: atendimento educacional ao adulto, nível de escolaridade de pessoas de 25 anos e mais, por Bairros ou Grupos de Bairros, em 1991/2000",xls,5,1991,2003,129,354,RA_1991,7,RA / bairro (nomes geográficos do Rio),USE,sheet 'RA_1991' header @ linha 7; granularidade: RA / bairro (nomes geográficos do Rio); 7 colunas no header
1e5dbe226f594be292bf490ead9d2666,"Indicadores de Educação: atendimento educacional ao adolescente e jovem, percentagem de adolescentes e jovens por nível educacional e frequência escolar, por Bairros ou grupos de Bairros, incluindo definições, em 1991/2000",xls,5,1991,2003,129,188,RA_1991,7,RA / bairro (nomes geográficos do Rio),USE,sheet 'RA_1991' header @ linha 7; granularidade: RA / bairro (nomes geográficos do Rio); 8 colunas no header
dbed8b55cf28474296457ab9989f91c5,"Indicadores de Educação: analfabetismo funcional, percentual de analfabetos funcionais por faixas etárias, segundo as regiões administrativas em 1991/2000",xls,5,1991,2003,129,102,RA_1991,7,RA / bairro (nomes geográficos do Rio),USE,sheet 'RA_1991' header @ linha 7; granularidade: RA / bairro (nomes geográficos do Rio); 7 colunas no header
