component,year,n_bairros,n_ras,mean,T_total,T_between,T_within,share_within,check_sum
aprovacao,2007,150,33,97.056,0.000336,0.000114,0.000222,0.6608,-0.0
aprovacao,2009,149,32,90.153,0.001856,0.000503,0.001353,0.7291,-0.0
aprovacao,2011,148,32,93.405,0.001131,0.000343,0.000788,0.6963,0.0
aprovacao,2013,148,32,93.632,0.001035,0.000346,0.000689,0.6655,0.0
aprovacao,2015,147,33,93.09,0.001323,0.000434,0.000889,0.6721,0.0
aprovacao,2017,145,33,94.825,0.000718,0.000201,0.000517,0.7195,0.0
aprovacao,2019,145,33,96.256,0.000532,0.000163,0.000369,0.6939,0.0
aprovacao,2021,129,30,98.866,9.4e-05,2.2e-05,7.2e-05,0.7697,0.0
aprovacao,2023,147,33,98.056,0.000159,5.1e-05,0.000108,0.6803,-0.0
saeb,2007,150,33,4.912,0.003501,0.001389,0.002113,0.6034,-0.0
saeb,2009,149,32,5.716,0.002669,0.000953,0.001717,0.6431,-0.0
saeb,2011,148,32,6.055,0.002608,0.000913,0.001695,0.6498,0.0
saeb,2013,148,32,5.948,0.003232,0.000918,0.002314,0.716,-0.0
saeb,2015,147,33,6.2,0.002166,0.000853,0.001313,0.6062,0.0
saeb,2017,145,33,6.231,0.002454,0.000876,0.001577,0.6429,0.0
saeb,2019,145,33,6.107,0.002121,0.000797,0.001324,0.6241,-0.0
saeb,2021,129,30,5.537,0.004386,0.001732,0.002654,0.605,-0.0
saeb,2023,147,33,6.116,0.003353,0.00115,0.002203,0.657,0.0
ideb,2007,150,33,4.588,0.004763,0.001938,0.002825,0.5931,-0.0
ideb,2009,149,32,5.103,0.005226,0.001665,0.003561,0.6814,-0.0
ideb,2011,148,32,5.479,0.004362,0.001362,0.003,0.6877,0.0
ideb,2013,148,32,5.329,0.006587,0.001767,0.004821,0.7318,0.0
ideb,2015,147,33,5.634,0.00397,0.001324,0.002646,0.6665,-0.0
ideb,2017,145,33,5.797,0.003494,0.001311,0.002183,0.6248,0.0
ideb,2019,145,33,5.808,0.002639,0.000854,0.001785,0.6763,-0.0
ideb,2021,129,30,5.472,0.004523,0.001743,0.00278,0.6146,-0.0
ideb,2023,147,33,6.002,0.003508,0.001121,0.002387,0.6804,0.0
