id,replication_status,S1,S2,S3,S4,S5,S6,S7,S8,total,max_possible
pereira-2019-ipea,partial,1,2,2,1,2,1,1,1,11,16
reardon-2011-whither,partial,1,2,2,1,2,1,1,1,11,16
theil-1967-economics,full,1,2,2,1,2,1,1,2,12,16
soares-andrade-2006,pending,1,1,0,0,1,0,0,0,3,16
alves-soares-2013,pending,1,1,0,0,1,0,0,0,3,16
coleman-1966-eeo,pending,1,1,0,0,1,0,0,0,3,16
hanushek-1986-jel,pending,1,1,0,0,1,0,0,0,3,16
reardon-owens-2014,pending,1,1,0,0,1,0,0,0,3,16
becker-1964-human-capital,unfeasible,1,1,0,0,1,0,0,0,3,16
cunha-heckman-2007,unfeasible,1,1,0,0,1,0,0,0,3,16
hoxby-2000-aer,pending,1,1,0,0,1,0,0,0,3,16
card-krueger-1992-jpe,unfeasible,1,1,0,0,1,0,0,0,3,16
coleman-1982-high,pending,1,1,0,0,0,0,0,0,2,16
dupriez-2006-inequalities,pending,2,1,0,0,0,0,0,0,3,16
schwartz-2011-housing,pending,1,1,0,0,0,0,0,0,2,16
