ap,ra,bairro,ideb,n_setores,ids_median,ids_mean,ids_p25,ids_p75,i_agua_adequada_median,i_esgoto_adequado_median,i_lixo_adequado_median,i_medbanh_pes_median,i_analfab_10a14_median,i_rendaresp_pos_sm_median,i_rendaresp_pos_ate2sm_median,i_rendaresp_p_maisde10sm_median,ids_iqr,quadrante,vuln_score
Área de Planejamento 1,I Portuária,Santo Cristo,4.9,20,0.549288715,0.5481823475,0.5297618399999999,0.5668605975,1.0,0.9961888050000001,1.0,0.17066079,0.99031008,0.020990285,0.30432192,0.001755905,0.037098757500000024,Q4: baixo IDS · baixo IDEB (vulnerável),1.4453271511608592
Área de Planejamento 3,XIII Méier,Sampaio,4.8,16,0.56482354,0.5627457773333333,0.542276735,0.5930901900000001,1.0,0.9952381,1.0,0.18029899,0.94047619,0.03514401,0.44262295,0.02945697,0.05081345500000012,Q4: baixo IDS · baixo IDEB (vulnerável),1.4353047618381616
Área de Planejamento 4,XVI Jacarepaguá,Gardênia Azul,5.0,20,0.54388258,0.5472448675,0.5277552275,0.5645748275,1.0,0.97480897,1.0,0.182947215,0.978767715,0.019016045,0.28938641,0.004723359999999999,0.03681959999999995,Q4: baixo IDS · baixo IDEB (vulnerável),1.3840290792471182
Área de Planejamento 3,XXV Pavuna,Parque Columbia,5.1,19,0.53039833,0.5322908205263158,0.5068298950000001,0.57063134,1.0,0.96907216,1.0,0.18018644,0.96855346,0.01640217,0.25,0.0,0.06380144499999996,Q4: baixo IDS · baixo IDEB (vulnerável),1.3796124883265755
Área de Planejamento 3,XXV Pavuna,Acari,5.2,38,0.52524268,0.5135297177142857,0.509231855,0.5363161599999999,1.0,0.99591837,1.0,0.15480178,0.93589744,0.01020091,0.0989011,0.0,0.02708430499999992,Q4: baixo IDS · baixo IDEB (vulnerável),1.3165506438289354
Área de Planejamento 3,XXVIII Jacarezinho,Jacarezinho,5.2,52,0.527381335,0.5185556348076923,0.5131075525000001,0.5351838675,1.0,1.0,1.0,0.15899759,0.97289794,0.011388375,0.131800565,0.0,0.022076314999999958,Q4: baixo IDS · baixo IDEB (vulnerável),1.3014914544346883
Área de Planejamento 3,XXV Pavuna,Costa Barros,5.2,47,0.52748568,0.5186290808510639,0.51524344,0.54669709,1.0,0.99137931,1.0,0.16165566,0.96233522,0.01245185,0.15277778,0.0,0.03145365,Q4: baixo IDS · baixo IDEB (vulnerável),1.3007567164253586
Área de Planejamento 2,VI Lagoa,Vidigal,5.2,20,0.53483412,0.5531832663157894,0.5311602200000001,0.55586621,0.99230769,0.98571429,1.0,0.18373457,0.96598639,0.01568094,0.17571885,0.00302844,0.024705989999999955,Q4: baixo IDS · baixo IDEB (vulnerável),1.2490131908392954
Área de Planejamento 3,XXXI Vigário Geral,Parada de Lucas,5.2,39,0.53649039,0.542349118974359,0.52267712,0.56892588,1.0,1.0,1.0,0.17352659,0.97126437,0.01418681,0.15757576,0.0,0.04624876,Q4: baixo IDS · baixo IDEB (vulnerável),1.237350681637012
Área de Planejamento 4,XXIV Barra da Tijuca,Itanhangá,5.5,49,0.49946644,0.49594933441860467,0.42669006,0.567000645,0.99750623,0.31141869,1.0,0.17725711,0.96296296,0.0228981,0.32786885,0.01123047,0.14031058500000004,Q4: baixo IDS · baixo IDEB (vulnerável),1.1999572538234955
Área de Planejamento 3,XIII Méier,Jacaré,5.1,16,0.56055883,0.5513925831250001,0.5308039175,0.5860515975,1.0,0.99715909,1.0,0.198390065,0.96452295,0.023872785,0.297903275,0.007461880000000001,0.05524768000000002,Q4: baixo IDS · baixo IDEB (vulnerável),1.1672394399736663
Área de Planejamento 3,XXIX Complexo do Alemão,Complexo do Alemão,5.4,85,0.5230335850000001,0.512626760595238,0.5089538625000001,0.5320981300000001,1.0,0.990175515,0.9968508899999999,0.155541225,0.95168067,0.011227170000000002,0.126317345,0.0,0.023144267499999982,Q4: baixo IDS · baixo IDEB (vulnerável),1.1333758457926835
Área de Planejamento 3,XXV Pavuna,Barros Filho,5.4,30,0.533080685,0.5220825373333333,0.51457127,0.5414816175,1.0,0.9908521299999999,1.0,0.177638245,0.96922658,0.013465315,0.16895273500000002,0.0,0.026910347499999987,Q4: baixo IDS · baixo IDEB (vulnerável),1.0626298948268005
Área de Planejamento 4,XXIV Barra da Tijuca,Vargem Grande,6.2,26,0.420208125,0.41882869166666664,0.3326626025,0.4628282025,0.35949284,0.13328259,1.0,0.17035466500000002,0.9894514750000001,0.018500965,0.240384615,0.0,0.1301656,Q2: baixo IDS · alto IDEB (resiliente),1.0624941776106633
Área de Planejamento 3,XII Inhaúma,Maria da Graça,4.8,13,0.61852733,0.6129426530769231,0.60626904,0.62378737,1.0,0.99209486,1.0,0.22828166,1.0,0.0479119,0.65460526,0.04049296,0.017518329999999915,Q3: alto IDS · baixo IDEB (sub-performance),1.0571532858876793
Área de Planejamento 3,XXV Pavuna,Coelho Neto,5.2,53,0.56272964,0.5561125922641509,0.53683267,0.57744046,1.0,1.0,1.0,0.18218859,1.0,0.02230092,0.33460076,0.00485642,0.04060779000000003,Q4: baixo IDS · baixo IDEB (vulnerável),1.052588840520515
Área de Planejamento 3,XV Madureira,Vaz Lobo,5.1,21,0.5815652,0.5646694704999999,0.556080465,0.59751957,1.0,0.99543341,1.0,0.19338504499999998,1.0,0.03029851,0.44380644999999996,0.0154112,0.04143910500000003,Q3: alto IDS · baixo IDEB (sub-performance),1.0193245568739457
Área de Planejamento 3,X Ramos,Manguinhos,5.6,41,0.51567039,0.4977126253658537,0.46144604,0.53103946,1.0,0.99459459,1.0,0.1568323,0.94623656,0.01113775,0.09550562,0.0,0.06959342000000002,Q4: baixo IDS · baixo IDEB (vulnerável),0.9864932819208454
Área de Planejamento 5,XXVI Guaratiba,Guaratiba,5.9,227,0.48612231,0.4793076376497696,0.42885232,0.52944775,0.98550725,0.515625,1.0,0.1734963,0.96732026,0.01731338,0.23584906,0.0,0.10059542999999999,Q4: baixo IDS · baixo IDEB (vulnerável),0.8964590391012758
Área de Planejamento 3,XXX Maré,Maré,5.6,185,0.5333612750000001,0.5297643775543478,0.526328465,0.5421133275,1.0,1.0,1.0,0.16267502,0.95495495,0.013214449999999999,0.16129032,0.0,0.015784862499999996,Q4: baixo IDS · baixo IDEB (vulnerável),0.8619241542369285
Área de Planejamento 1,III Rio Comprido,Estácio,5.5,39,0.55099765,0.563557724,0.529562345,0.59756719,1.0,1.0,1.0,0.18238464,1.0,0.01857905,0.23404255,0.0171131,0.06800484500000004,Q4: baixo IDS · baixo IDEB (vulnerável),0.8371038477787036
