OBJECTID,CD_GEOCODI,NM_BAIRRO,NM_SUBDIST,NM_DISTRIT,INDIC_AGUA_ADEQUADA,INDIC_ESGOTO_ADEQUADO,INDIC_LIXO_ADEQUADO,INDIC_MEDBANH_PES,INDIC_ANALFAB_10A14,INDIC_RENDARESP_POS_SM,INDIC_RENDARESP_POS_ATE2SM,INDIC_RENDARESP_P_MAISDE10SM,I_AGUA_ADEQUADA,I_ESGOTO_ADEQUADO,I_LIXO_ADEQUADO,I_MEDBANH_PES,I_ANALFAB_10A14,I_RENDARESP_POS_SM,I_RENDARESP_POS_ATE2SM,I_RENDARESP_P_MAISDE10SM,IDS
8271,330455705060001,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.39064475,2.53164557,1.75146183,82.14285714,0,1,1,1,0.17745931,0.95780591,0.01566251,0.17857143,0,0.54118739
8273,330455705060002,Caju,PORTUÁRIA,RIO DE JANEIRO,100,99.67741935,99.35483871,0.33460076,2.15053763,1.33063119,90.81272085,0,1,0.99677419,0.99354839,0.15200005,0.96415771,0.00944389,0.09187279,0,0.52597463
8275,330455705060003,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.35,2.3255814,0.94673203,98.33333333,0,1,1,1,0.1589955,0.96124031,0.00377101,0.01666667,0,0.51758419
8277,330455705060004,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.38390805,0,1.38407502,92.17391304,0,1,1,1,0.17439901,1,0.01023363,0.07826087,0,0.53286169
8279,330455705060005,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.33641975,2.22222222,1.00291206,99.00990099,0,1,1,1,0.15282636,0.96296296,0.00460118,0.00990099,0,0.51628644
8281,330455705060006,Caju,PORTUÁRIA,RIO DE JANEIRO,100,99.07407407,100,0.33065237,3.07692308,1.58016807,89.3877551,0.40816327,1,0.99074074,1,0.1502064,0.94871795,0.0131313,0.10612245,0.00440051,0.52666492
8283,330455705060007,Caju,PORTUÁRIA,RIO DE JANEIRO,,,,,,,,,,,,,,,,,
8285,330455705060008,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.31144465,0,5.31096439,6.12244898,2.04081633,1,1,1,0.14148085,1,0.06826131,0.93877551,0.02200255,0.64631503
8287,330455705060009,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.59186992,0,3.37348769,44.14893617,2.65957447,1,1,1,0.26887044,1,0.0396312,0.55851064,0.02867354,0.61196073
8289,330455705060010,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.3674476,8.10810811,1.25345163,92.97520661,0,1,1,1,0.16692147,0.86486486,0.00830341,0.07024793,0,0.51379221
8291,330455705060011,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.3673293,3.48837209,1.35362369,89.67551622,0,1,1,1,0.16686773,0.94186047,0.00978365,0.10324484,0,0.52771959
8293,330455705060012,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.33449074,0,1.30214404,91.12149533,0,1,1,1,0.15195007,1,0.00902294,0.08878505,0,0.53121976
8295,330455705060013,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.33913043,1.17647059,1.39382745,91.2,0,1,1,1,0.15405775,0.98039216,0.01037774,0.088,0,0.52910346
8297,330455705060014,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.40356394,4.05405405,1.3932958,88.44884488,0,1,1,1,0.18332815,0.93243243,0.01036989,0.11551155,0,0.53020525
8299,330455705060015,Caju,PORTUÁRIA,RIO DE JANEIRO,100,100,100,0.36900369,0,4.01539142,23.30827068,3.7593985,1,1,1,0.16762836,1,0.04911661,0.76691729,0.04053102,0.62802416
